Feature,Description,Type,Values
index,row index (starting at 0),int,0-83438
Unnamed: 0,redundant index (starting at 1),int,1-83439
ResponseId,response index (starting at 1),int,1-83439
MainBranch,"Indication of Developer by Hobby, Profession, Student, etc",Category,"I am a developer by profession;I am a student who is learning to code;I am not primarily a developer, but I write code sometimes as part of my work;I code primarily as a hobby;I used to be a developer by profession, but no longer am;None of these"
Employment,"Indication of Full-Time, Part-Time, Retired, Student, etc",Category,"Independent contractor, freelancer, or self-employed;Student, full-time;Employed full-time;Student, part-time;I prefer not to say;Employed part-time;Not employed, but looking for work;Retired;Not employed, and not looking for work;nan"
Country,Country of Origin (participants from 180 of ~200 recognized),Category,"Slovakia;Netherlands;Russian Federation;Austria;United Kingdom of Great Britain and Northern Ireland;United States of America;Malaysia;India;Sweden;Spain;Germany;Peru;Turkey;Canada;Singapore;Brazil;France;Switzerland;Malawi;Israel;Poland;Ukraine;Viet Nam;Portugal;Italy;Bulgaria;Greece;Iran, Islamic Republic of...;Ireland;Georgia;Uzbekistan;Hungary;Belgium;Pakistan;Nigeria;Albania;Bangladesh;Romania;Sri Lanka;Lithuania;Slovenia;Croatia;Czech Republic;Denmark;Armenia;Lebanon;Bahrain;Egypt;Nepal;Colombia;Indonesia;Australia;Turkmenistan;Morocco;Chile;Serbia;New Zealand;Estonia;Tunisia;Finland;Hong Kong (S.A.R.);United Arab Emirates;Argentina;Azerbaijan;Philippines;Costa Rica;South Africa;Kosovo;Japan;United Republic of Tanzania;Bolivia;Bosnia and Herzegovina;Uruguay;South Korea;China;Norway;Belarus;Luxembourg;Malta;Ethiopia;Madagascar;Kenya;The former Yugoslav Republic of Macedonia;Botswana;Algeria;Senegal;Mexico;Cyprus;Venezuela, Bolivarian Republic of...;Cameroon;Jordan;Dominican Republic;Ecuador;Syrian Arab Republic;Zambia;Taiwan;Nomadic;Latvia;Guatemala;Paraguay;Iceland;Haiti;Republic of Moldova;Kazakhstan;Libyan Arab Jamahiriya;Afghanistan;Panama;Côte d'Ivoire;Cuba;Myanmar;Tajikistan;Lao People's Democratic Republic;Yemen;Thailand;Qatar;Democratic Republic of the Congo;Iraq;Mozambique;Somalia;Andorra;Kyrgyzstan;Kuwait;Saudi Arabia;Mauritania;Honduras;Angola;Oman;Swaziland;Sudan;Guyana;Chad;El Salvador;Benin;North Korea;Nicaragua;Dominica;Trinidad and Tobago;Ghana;Barbados;Burundi;Micronesia, Federated States of...;Zimbabwe;Mauritius;Gambia;Bahamas;Congo, Republic of the...;Suriname;Djibouti;Republic of Korea;Bhutan;Cambodia;Uganda;Rwanda;Montenegro;Maldives;Saint Kitts and Nevis;Monaco;Togo;Isle of Man;Jamaica;Belize;Palestine;Mongolia;Burkina Faso;Liechtenstein;Saint Lucia;Cape Verde;Brunei Darussalam;Namibia;Central African Republic;Lesotho;Guinea;Liberia;Fiji;Niger;Sierra Leone;San Marino;Saint Vincent and the Grenadines;Tuvalu;Papua New Guinea;Mali"
EdLevel,Education Level (Highschool through PhD),Category,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.);Bachelor’s degree (B.A., B.S., B.Eng., etc.);Master’s degree (M.A., M.S., M.Eng., MBA, etc.);Other doctoral degree (Ph.D., Ed.D., etc.);Some college/university study without earning a degree;Something else;Professional degree (JD, MD, etc.);Primary/elementary school;Associate degree (A.A., A.S., etc.);nan"
Age1stCode,"Age first program/code, in ranges such as 10-17, 18-25, etc",Category,18 - 24 years;11 - 17 years;5 - 10 years;25 - 34 years;35 - 44 years;Younger than 5 years;45 - 54 years;55 - 64 years;nan;Older than 64 years
LearnCode,How developer first learned to code (eg: online resources or school),multi-cat/string,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Other online resources (ex: videos, blogs, etc);School;Other online resources (ex: videos, blogs, etc);Online Forum;nan;Friend or family member;Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;School;Online Courses or Certification;Coding Bootcamp;School;Other online resources (ex: videos, blogs, etc);Other online resources (ex: videos, blogs, etc);School;Friend or family member;Other (please specify):;Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Online Courses or Certification;School;Colleague;School;Friend or family member;Coding Bootcamp;Online Forum;Other online resources (ex: videos, blogs, etc);School;Friend or family member;Other (please specify):;Other online resources (ex: videos, blogs, etc);School;Friend or family member;Online Courses or Certification;School;Online Forum;Other (please specify):;Other online resources (ex: videos, blogs, etc);School;Online Forum;Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Other (please specify):;Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Colleague;Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;Colleague;Friend or family member;Online Courses or Certification;Colleague;Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification;Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Other (please specify):;Online Courses or Certification;Online Forum;School;Online Forum;Online Courses or Certification;Other (please specify):;Other online resources (ex: videos, blogs, etc);School;Online Forum;Colleague;Friend or family member;Online Courses or Certification;Other (please specify):;Other online resources (ex: videos, blogs, etc);"
YearsCode,Years actively practicing coding/programming,Category,0-50+
YearsCodePro,Years actively practicing coding/programming as a Professional,Category,0-50+
DevType,"General classification of IT programming expertise: ex Database, Researcher, Student, Developer, System Admin",multi-cat/string,"Developer, mobile;nan;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Engineer, data;Other (please specify):;Data scientist or machine learning specialist;Developer, back-end;Developer, desktop or enterprise applications;Developer, back-end;Developer, full-stack;Developer, front-end;Developer, full-stack;Developer, back-end;Other (please specify):;Engineer, data;Data scientist or machine learning specialist;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Academic researcher;Database administrator;Scientist;Academic researcher;Scientist;Student;Developer, back-end;Developer, QA or test;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;Engineer, data;Developer, back-end;Developer, game or graphics;Developer, mobile;Developer, desktop or enterprise applications;Developer, full-stack;Developer, QA or test;Developer, embedded applications or devices;DevOps specialist;Developer, full-stack;Developer, back-end;Developer, embedded applications or devices;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;Data scientist or machine learning specialist;Data or business analyst;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Data scientist or machine learning specialist;Developer, back-end;Database administrator;Developer, QA or test;Data or business analyst;Designer;Engineering manager;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Data or business analyst;Designer;Data scientist or machine learning specialist;Academic researcher;Scientist;Developer, desktop or enterprise applications;Developer, back-end;Database administrator;Engineer, data;Academic researcher;Developer, front-end;Developer, full-stack;DevOps specialist;Engineer, site reliability;Developer, front-end;Student;Designer;Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test;System administrator;Developer, front-end;Developer, full-stack;Data scientist or machine learning specialist;Academic researcher;Scientist;Student;Developer, game or graphics;Engineer, data;Data scientist or machine learning specialist;Scientist;Other (please specify):;DevOps specialist;System administrator;Developer, front-end;Developer, full-stack;Developer, back-end;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, back-end;Designer;Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;Other (please specify):;Developer, back-end;DevOps specialist;Developer, back-end;Student;Scientist;Engineering manager;Product manager;Senior Executive (C-Suite, VP, etc.);Developer, full-stack;Developer, back-end;Product manager;Developer, mobile;Developer, front-end;Developer, full-stack;Developer, full-stack;Student;Developer, embedded applications or devices;Engineering manager;Product manager;Engineer, data;Developer, back-end;Academic researcher;Student;Data or business analyst;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Designer;Developer, front-end;Engineering manager;Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;Developer, QA or test;Developer, embedded applications or devices;DevOps specialist;Engineer, site reliability;System administrator;Developer, full-stack;System administrator;Developer, front-end;Developer, full-stack;Developer, back-end;Student;Developer, QA or test;System administrator;DevOps specialist;Engineer, site reliability;Developer, front-end;Developer, full-stack;Engineer, data;Developer, back-end;Developer, embedded applications or devices;Designer;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Engineering manager;Product manager;Developer, back-end;Developer, game or graphics;Developer, back-end;DevOps specialist;Engineering manager;Database administrator;Data or business analyst;Other (please specify):;Developer, QA or test;Developer, full-stack;Academic researcher;Data or business analyst;Designer;System administrator;Educator;Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Designer;System administrator;Marketing or sales professional;Developer, desktop or enterprise applications;Academic researcher;Database administrator;System administrator;Data scientist or machine learning specialist;Academic researcher;Developer, mobile;Developer, full-stack;Developer, back-end;Engineer, data;Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test;Developer, front-end;Engineer, data;Developer, back-end;Developer, QA or test;Data scientist or machine learning specialist;Scientist;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Developer, QA or test;Developer, embedded applications or devices;Data or business analyst;Engineer, site reliability;Developer, back-end;Engineering manager;Engineer, site reliability;Developer, full-stack;Data or business analyst;Product manager;Senior Executive (C-Suite, VP, etc.);Academic researcher;Developer, back-end;DevOps specialist;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Data or business analyst;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Developer, QA or test;Developer, embedded applications or devices;Data or business analyst;Developer, front-end;Data scientist or machine learning specialist;Developer, back-end;Developer, embedded applications or devices;DevOps specialist;Engineering manager;Engineer, site reliability;System administrator;Product manager;Senior Executive (C-Suite, VP, etc.);Developer, full-stack;Student;Data or business analyst;Developer, front-end;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, back-end;System administrator;Other (please specify):;Student;Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Developer, game or graphics;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, embedded applications or devices;Engineering manager;Developer, desktop or enterprise applications;Developer, full-stack;Developer, mobile;Developer, full-stack;Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;Developer, QA or test;Developer, embedded applications or devices;DevOps specialist;Data or business analyst;Engineering manager;Senior Executive (C-Suite, VP, etc.);Developer, mobile;Developer, full-stack;Data scientist or machine learning specialist;Developer, back-end;Academic researcher;Scientist;Developer, game or graphics;Product manager;Senior Executive (C-Suite, VP, etc.);Educator;Student;Developer, back-end;DevOps specialist;Engineer, site reliability;System administrator;Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;Data or business analyst;Developer, front-end;Designer;Developer, full-stack;DevOps specialist;Developer, full-stack;Developer, QA or test;DevOps specialist;Developer, front-end;Developer, full-stack;Data scientist or machine learning specialist;Developer, back-end;DevOps specialist;Engineer, site reliability;Academic researcher;Educator;Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;Student;Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Developer, embedded applications or devices;Product manager;Data scientist or machine learning specialist;Database administrator;Data or business analyst;Product manager;Academic researcher;Scientist;Developer, mobile;Engineering manager;Developer, back-end;Academic researcher;Database administrator;Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;Scientist;Developer, game or graphics;Designer;System administrator;Developer, full-stack;Engineer, data;Data scientist or machine learning specialist;Developer, back-end;DevOps specialist;Data or business analyst;Product manager;Developer, mobile;Developer, full-stack;Developer, QA or test;Developer, game or graphics;Designer;Developer, back-end;Engineering manager;Developer, full-stack;Other (please specify):;DevOps specialist;Developer, back-end;Student;System administrator;Senior Executive (C-Suite, VP, etc.);Scientist;Developer, mobile;Developer, front-end;Developer, full-stack;Engineer, data;Developer, back-end;Developer, embedded applications or devices;Engineering manager;Developer, full-stack;Developer, back-end;Designer;Developer, back-end;Database administrator;Designer;Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;Developer, QA or test;Designer;System administrator;Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;System administrator;Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist;Designer;Developer, full-stack;Engineering manager;Developer, full-stack;Database administrator;Developer, QA or test;Developer, back-end;Developer, QA or test;Developer, embedded applications or devices;Developer, desktop or enterprise applications;Developer, full-stack;Engineering manager;Developer, back-end;Data or business analyst;Developer, desktop or enterprise applications;Developer, QA or test;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Engineer, site reliability;System administrator;Developer, full-stack;Engineer, data;Database administrator;Data or business analyst;Designer;Developer, desktop or enterprise applications;Engineer, data;Database administrator;DevOps specialist;Designer;System administrator;Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator"
OrgSize,Size of Organization Employed/work for,Category,"20 to 99 employees;nan;100 to 499 employees;Just me - I am a freelancer, sole proprietor, etc.;10,000 or more employees;10 to 19 employees;1,000 to 4,999 employees;500 to 999 employees;5,000 to 9,999 employees;2 to 9 employees;I don’t know"
Currency,Salary/Compensation Units (Dollar vs. Ruple vs. Euro),Category,EUR European Euro;nan;GBP Pound sterling;INR Indian rupee;SEK Swedish krona;TRY Turkish lira;CAD Canadian dollar;SGD Singapore dollar;CHF Swiss franc;RUB Russian ruble;ILS Israeli new shekel;USD United States dollar;BRL Brazilian real;BGN Bulgarian lev;AED United Arab Emirates dirham;PLN Polish zloty;UZS Uzbekistani som;HUF Hungarian forint;PKR Pakistani rupee;ZMW Zambian kwacha;NGN Nigerian naira;ALL Albanian lek;BDT Bangladeshi taka;IRR Iranian rial;RON Romanian leu;HRK Croatian kuna;GEL Georgian lari;DKK Danish krone;AMD Armenian dram;LBP Lebanese pound;BHD Bahraini dinar;EGP Egyptian pound;AUD Australian dollar;CLP Chilean peso;IDR Indonesian rupiah;RSD Serbian dinar;KRW South Korean won;HKD Hong Kong dollar;NPR Nepalese rupee;UAH Ukrainian hryvnia;JPY Japanese yen;TZS Tanzanian shilling;PEN Peruvian sol;BOB Bolivian boliviano;CZK Czech koruna;ZAR South African rand;ARS Argentine peso;NOK Norwegian krone;VND Vietnamese dong;MYR Malaysian ringgit;MGA Malagasy ariary;KES Kenyan shilling;LKR Sri Lankan rupee;TND Tunisian dinar;BYN Belarusian ruble;COP Colombian peso;MKD Macedonian denar;BWP Botswana pula;DZD Algerian dinar;BAM Bosnia and Herzegovina convertible mark;CNY Chinese Yuan Renminbi;MXN Mexican peso;MAD Moroccan dirham;JOD Jordanian dinar;DOP Dominican peso;THB Thai baht;ETB Ethiopian birr;XOF West African CFA franc;PYG Paraguayan guarani;ISK Icelandic krona;HTG Haitian gourde;TWD New Taiwan dollar;GTQ Guatemalan quetzal;XAF Central African CFA franc;KZT Kazakhstani tenge;LYD Libyan dinar;CUP Cuban peso;SYP Syrian pound;PHP Philippine peso;XCD East Caribbean dollar;LAK Lao kip;YER Yemeni rial;TOP Tongan pa’anga;IQD Iraqi dinar;CRC Costa Rican colon;MRU Mauritanian ouguiya;AZN Azerbaijan manat;SAR Saudi Arabian riyal;AOA Angolan kwanza;SDG Sudanese pound;GYD Guyanese dollar;XPF CFP franc;NZD New Zealand dollar;UYU Uruguayan peso;HNL Honduran lempira;NIO Nicaraguan cordoba;MZN Mozambican metical;TTD Trinidad and Tobago dollar;GHS Ghanaian cedi;BBD Barbadian dollar;FJD Fijian dollar;VES Venezuelan bolivar;UGX Ugandan shilling;KWD Kuwaiti dinar;GMD Gambian dalasi;LSL Lesotho loti;MMK Myanmar kyat;KGS Kyrgyzstani som;AFN Afghan afghani;MUR Mauritian rupee;SZL Swazi lilangeni;RWF Rwandan franc;MDL Moldovan leu;TMT Turkmen manat;KYD Cayman Islands dollar;KHR Cambodian riel;IMP Manx pound;QAR Qatari riyal;BZD Belize dollar;ANG Netherlands Antillean guilder;MNT Mongolian tugrik;TJS Tajikistani somoni;OMR Omani rial;BIF Burundi franc;JMD Jamaican dollar;NAD Namibian dollar;GNF Guinean franc;none Cook Islands dollar;CDF Congolese franc;PGK Papua New Guinean kina;LRD Liberian dollar;MVR Maldivian rufiyaa;GIP Gibraltar pound;BSD Bahamian dollar;AWG Aruban florin;DJF Djiboutian franc;SHP Saint Helena pound;MWK Malawian kwacha;BTN Bhutanese ngultrum;SRD Surinamese dollar;VUV Vanuatu vatu;CVE Cape Verdean escudo;BMD Bermudian dollar;GGP Guernsey Pound;KPW North Korean won;XDR SDR (Special Drawing Right);ERN Eritrean nakfa
CompTotal,Salary/Compensation in currency units,Numeric/Monetary,0-99999999999999
CompFreq,"Check/Payment frequency, such as Monthly, bi-weekly, etc",Category,Monthly;nan;Yearly;Weekly
LanguageHaveWorkedWith,semi-colon separated list of languages dev has worked with,multi-cat/string,JavaScript;Python;HTML/CSS;TypeScript;SQL;Node.js;C#;Java;Rust;Go;C++;Bash/Shell;Kotlin;C;PHP;Dart;Swift;Ruby;PowerShell;R;Assembly;Haskell;Elixir;Scala;Julia;
LanguageWantToWorkWith,semi-colon separated list of languages dev wants to work with,multi-cat/string,JavaScript;Python;HTML/CSS;TypeScript;SQL;Node.js;C#;Java;Rust;Go;C++;Bash/Shell;Kotlin;C;PHP;Dart;Swift;Ruby;PowerShell;R;Assembly;Haskell;Elixir;Scala;Julia;
DatabaseHaveWorkedWith,semi-colon separated list of Database Systems dev has worked with,multi-cat/string,MySQL;PostgreSQL;SQLite;MongoDB;Microsoft SQL Server;Redis;MariaDB;Firebase;Elasticsearch;Oracle;DynamoDB;Cassandra;IBMDB2;Couchbase;
DatabaseWantToWorkWith,semi-colon separated list of Database Systems dev wants to work with,multi-cat/string,MySQL;PostgreSQL;SQLite;MongoDB;Microsoft SQL Server;Redis;MariaDB;Firebase;Elasticsearch;Oracle;DynamoDB;Cassandra;IBMDB2;Couchbase;
PlatformHaveWorkedWith,semi-colon separated list of Cloud Platforms dev has worked with,multi-cat/string,AWS;GoogleCloudPlatform;MicrosoftAzure;Heroku;DigitalOcean;IBMCloudorWatson;OracleCloudInfrastructure;
PlatformWantToWorkWith,semi-colon separated list of Cloud Platforms dev wants to work with,multi-cat/string,AWS;GoogleCloudPlatform;MicrosoftAzure;Heroku;DigitalOcean;IBMCloudorWatson;OracleCloudInfrastructure;
WebframeHaveWorkedWith,semi-colon separated list of Web Framework/stacks dev has worked with,multi-cat/string,React.js;jQuery;Express;Angular;Vue.js;ASP.NETCore;Flask;ASP.NET;Django;Spring;Angular.js;Laravel;RubyonRails;Gatsby;FastAPI;Symfony;Svelte;Drupal;
WebframeWantToWorkWith,semi-colon separated list of Web Framework/stacks dev wants to work with,multi-cat/string,React.js;jQuery;Express;Angular;Vue.js;ASP.NETCore;Flask;ASP.NET;Django;Spring;Angular.js;Laravel;RubyonRails;Gatsby;FastAPI;Symfony;Svelte;Drupal;
MiscTechHaveWorkedWith,semi-colon separated list of Misc. Tech dev has worked with,multi-cat/string,.NET Framework;NumPy;.NET Core / .NET 5;Pandas;TensorFlow;React Native;Flutter;Keras;Qt;Torch/PyTorch;Cordova;Apache Spark;Hadoop;
MiscTechWantToWorkWith,semi-colon separated list of Misc. Tech wants to work with,multi-cat/string,.NET Core / .NET 5;NumPy;TensorFlow;Pandas;Flutter;React Native;Torch/PyTorch;.NET Framework;Keras;Qt;Apache Spark;Hadoop;Cordova;
ToolsTechHaveWorkedWith,semi-colon separated list of Tech Tools dev has worked with,multi-cat/string,Git;Docker;Yarn;Kubernetes;Unity 3D;Ansible;Terraform;Xamarin;Unreal Engine;Puppet;Deno;Chef;Flow;Pulumi;
ToolsTechWantToWorkWith,semi-colon separated list of Tech Tools wants to work with,multi-cat/string,Git;Docker;Yarn;Kubernetes;Unity 3D;Ansible;Terraform;Xamarin;Unreal Engine;Puppet;Deno;Chef;Flow;Pulumi;
NEWCollabToolsHaveWorkedWith,semi-colon separated list of collaboration tools has worked with,multi-cat/string,Visual Studio Code;Visual Studio;Notepad++;IntelliJ;Vim;Android Studio;Sublime Text;PyCharm;Eclipse;Atom;IPython/Jupyter;Xcode;Webstorm;PHPStorm;NetBeans;Emacs;Neovim;Rider;RStudio;RubyMine;TextMate;
NEWCollabToolsWantToWorkWith,semi-colon separated list of collaboration tools wants to work with,multi-cat/string,Visual Studio Code;Visual Studio;Notepad++;IntelliJ;Vim;Android Studio;Sublime Text;PyCharm;Eclipse;Atom;IPython/Jupyter;Xcode;Webstorm;PHPStorm;NetBeans;Emacs;Neovim;Rider;RStudio;RubyMine;TextMate;
OpSys,Operating Systems,multi-cat/string,Windows;Linux-based;MacOS;Windows Subsystem for Linux (WSL);Other (please specify):;BSD;
NEWStuck,Approaches developer takes when researching or stuck,Category,
NEWSOSites,Help-sites (forums such as Stack Overflow) used,Category,
SOVisitFreq,Frequency of help-site/forum usage,Category,
SOAccount,Does Developer have a Stack Overflow account,Category,
SOPartFreq,Frequency of participation in forum,Category,
SOComm,Does dev self-describe as member of stack overflow community,Category,
NEWOtherComms,Does developer use other forum/communities,Category,
Age,Age of developer,Integer/Numeric,14-99
Gender,"Gender  dev identifies with (Male, Female, etc)",Category,
Trans,whether developer identifies as transgender,Boolean,
Sexuality,sexual orientation developer identifies as,Category,
Ethnicity,"Developer identifying as white/european, asian, middle-eastern, etc",Category,
Accessibility,Does developer think survey was accessible,Category,
MentalHealth,Developer disclosure of mental health (eg: depression/emotional/memory/concentration),Category,
SurveyLength,Does developer think survey was long,Category,
SurveyEase,Does Developer think survey was easy,Category,
ConvertedCompYearly,normalized compensation in base unit ($s),Numeric/Monetary,
